Frequency [Hz],Amplitude,X [mm],Y [mm]
11.4007,-3.9955,-3.9534,-4.5796
11.4393,-4.2734,-4.2158,-4.6026
11.478,-4.4192,-3.8073,-4.3575
11.5166,-3.9931,-4.3934,-5.1331
11.5553,-4.0964,-3.9303,-4.3972
11.5939,-4.019,-4.1264,-4.8851
11.6326,-4.2053,-4.0322,-4.681
11.6712,-4.0617,-4.3927,-4.7542
11.7099,-4.0698,-4.3292,-5.0806
11.7485,-4.1822,-4.159,-5.2172
11.7872,-4.1811,-4.0742,-4.895
11.8258,-3.8037,-3.7925,-4.4412
11.8644,-4.0615,-4.1814,-4.7731
11.9031,-4.3605,-3.7834,-4.6835
11.9417,-4.2188,-4.0184,-5.3496
11.9804,-3.8969,-3.9184,-4.4822
12.019,-4.0761,-4.017,-4.7161
12.0577,-4.1917,-4.1079,-4.7855
12.0963,-4.5821,-4.1571,-5.0025
12.135,-4.4678,-3.9868,-4.5434
12.1736,-4.1109,-4.1722,-4.6588
12.2123,-3.895,-4.2353,-5.3925
12.2509,-4.1439,-4.4857,-4.2739
12.2896,-4.009,-4.4567,-4.9618
12.3282,-4.132,-3.9301,-5.4152
12.3669,-3.9043,-3.8496,-4.3674
12.4055,-4.2603,-4.0111,-4.6531
12.4441,-3.9239,-3.921,-4.9062
12.4828,-3.972,-4.0136,-4.8572
12.5214,-3.8728,-3.84,-4.9869
12.5601,-4.3071,-3.8684,-4.5709
12.5987,-3.8752,-4.3614,-4.7064
12.6374,-4.1727,-3.971,-4.6206
12.676,-3.8526,-4.277,-5.4221
12.7147,-4.5984,-4.0748,-4.6127
12.7533,-3.9779,-4.2845,-4.8579
12.792,-4.6372,-3.9461,-4.9564
12.8306,-4.176,-3.9082,-4.6384
12.8693,-3.9284,-3.9325,-4.8959
12.9079,-4.1191,-4.2643,-4.7993
12.9465,-4.6685,-3.9035,-4.5561
12.9852,-4.285,-4.1849,-4.2939
13.0238,-4.2329,-3.9929,-4.5201
13.0625,-3.9534,-3.8596,-4.6232
13.1011,-4.1007,-4.3211,-4.3471
13.1398,-4.0356,-4.2415,-4.438
13.1784,-4.1533,-4.2687,-4.5238
13.2171,-4.0506,-4.0682,-4.9386
13.2557,-4.0138,-4.0818,-5.2176
13.2944,-4.1737,-4.3869,-4.7182
13.333,-4.1378,-4.1348,-4.561
13.3717,-3.9398,-4.7329,-4.2696
13.4103,-3.7953,-3.8236,-4.7517
13.449,-4.4308,-4.2726,-4.482
13.4876,-3.9518,-4.2241,-4.7794
13.5262,-4.1323,-3.824,-4.7743
13.5649,-3.7521,-3.7169,-5.0446
13.6035,-4.1976,-4.2345,-4.9468
13.6422,-4.4338,-3.997,-4.1826
13.6808,-4.1658,-4.5504,-4.8319
13.7195,-4.4015,-4.2041,-4.5511
13.7581,-4.901,-3.9916,-4.8523
13.7968,-4.3928,-4.172,-4.7306
13.8354,-4.1274,-4.9245,-4.6194
13.8741,-4.0359,-4.3317,-4.8531
13.9127,-4.1779,-4.0783,-4.5808
13.9514,-3.9251,-4.0799,-4.4887
13.99,-4.1307,-4.1522,-4.3215
14.0286,-4.1445,-3.7103,-4.7159
14.0673,-4.1245,-3.9994,-4.3704
14.1059,-3.9161,-4.1392,-4.6158
14.1446,-4.0509,-4.1297,-4.9552
14.1832,-4.1206,-3.8179,-4.7281
14.2219,-4.1042,-4.1729,-4.4782
14.2605,-4.0031,-4.0361,-4.4502
14.2992,-3.9459,-3.9155,-4.6131
14.3378,-3.9704,-4.1331,-4.273
14.3765,-4.0005,-4.4817,-4.5494
14.4151,-4.1686,-3.9209,-4.1853
14.4538,-4.1006,-4.558,-4.5785
14.4924,-3.9146,-3.9331,-4.9093
14.5311,-4.0473,-4.09,-4.6462
14.5697,-3.9733,-3.8461,-4.9839
14.6083,-4.049,-4.2149,-4.2494
14.647,-3.987,-3.9761,-4.6882
14.6856,-4.1033,-4.1482,-4.6745
14.7243,-4.077,-4.4223,-4.9787
14.7629,-3.9546,-4.0143,-4.6457
14.8016,-4.0447,-4.2903,-4.4323
14.8402,-4.3052,-3.9927,-4.4876
14.8789,-4.0758,-4.6821,-4.5771
14.9175,-4.1238,-3.775,-4.2276
14.9562,-4.3466,-4.0685,-4.6384
14.9948,-4.2159,-3.8229,-4.6437
15.0335,-4.0861,-4.1717,-4.8204
15.0721,-4.1486,-4.2115,-4.5234
15.1107,-4.4817,-3.9069,-4.4373
15.1494,-4.0286,-3.9389,-4.3806
15.188,-4.162,-4.053,-4.3506
15.2267,-4.2826,-4.4353,-4.4345
15.2653,-4.2058,-3.947,-4.4491
15.304,-4.1018,-4.5621,-4.3686
15.3426,-4.0446,-3.9533,-4.2942
15.3813,-4.1798,-4.284,-4.4253
15.4199,-4.1784,-3.8853,-4.7232
